SKU,Product Name,Product Description,External Image URL,Wordpress Media Library URL
370150,Puma Monolite Cat Shoe,The Monolete cat woven is constructed with engineered mesh to provide breathable comfort and support on the hottest of summer days. Breeze through the course and the clubhouse in style this summer.,https://images-na.ssl-images-amazon.com/images/I/71vabc5wdPL._AC_UX395_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/Puma Monolite Cat Shoe.jpg
370150,Puma Laguna Sport Shoe,"The fusion of style and performance. From the course to the clubhouse the laguna fusion sport will keep your style on point and your feet feeling sporty and fabulous. The performance mesh upper presents a fashion-forward, athletic style whle the fusion foam midsole provides you will all day comfort. The crystal carbon rubber outsole has strategically placed traction lugs that grip throughout the swing, while large fusion foam windows in the heel and forefoot deliver ground feel and forgiving cushioning.",https://images-na.ssl-images-amazon.com/images/I/71IgrEApJVL._AC_UX695_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/Puma Laguna Sport Shoe.jpg
370150,FootJoy Ladies Weather Sof,"Enhanced Durability: Taction2 advanced performance leather increases the feel, durability and flexibility in key stress areas. Moisture Control: Breathable elasticized PowerNet Mesh along the fingers and knuckles, creates cool comfort while improving fit and flexibility. Extraordinary Fit: FiberSof microfiber along the fingers blends seamlessly to offer an extraordinary fit and a secure grip. Improved Comfort: A 3-Directional ComforTab comfortably adjusts for a secure, reliable fit and feel.",https://images-na.ssl-images-amazon.com/images/I/71e61o-e09L._AC_SY450_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/FootJoy Ladies Weather Sof.jpg
370150,FootJoy Sta Cooler Glove,"StaCooler is the #1 women’s golf gloves that offers a customized, cool fit with Aloe. ",https://images-na.ssl-images-amazon.com/images/I/81CVhzFnsSL._AC_SX679_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/FootJoy Sta Cooler Glove.jpg
370150,Champion JR Eco Fleece Hoodie,Super soft fabric and made from recycled fibers the Champion eco fleece hoodie is a winning combination.,https://images-na.ssl-images-amazon.com/images/I/81qnqD9RqyL._AC_UY879_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/Champion JR Eco Fleece Hoodie.jpg
370150,LiL Ruche Tier Skort,"Show you favorite team and player support like the ultimate super fan you're in this NFL Mid-Tier jersey. You're guaranteed to stand out while showing your team spirit proudly. Cheer on your favorite team, while being trendy at the same time.",https://images-na.ssl-images-amazon.com/images/I/71DdBsO8i6L._AC_UX679_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/LiL Ruche Tier Skort.jpg
370150,LiL Ruche Tank,"Ruched Tankini Swim Top Two Piece Swimsuit Zigzag Print Available in 6 Size: L/XL/2XL/3XL/4XL/5XL. Sizing details: L=US(4-6);XL=US(8-10) ;2XL=US(12-14);3XL=US(14-16) ;4XL=US(16-18);5XL=US(18-20). Package include:1 X Swim Top Tankini ,1 X Boardshort. Features: 1.Ruched top for fitted support, come with bikini bottom. 2. Tummy control tankini top with zigzag pinted. 3. Pull on closure, tummy control.Note: There maybe a lilttle deviation in different sizes, locations and stretch of fabrics.Size chart is for reference only;there may be a little difference with what you get.",https://images-na.ssl-images-amazon.com/images/I/71iyy12aEFL._AC_UY445_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/LiL Ruche Tank.jpg
370150,UnderArmour Boys Tour Cap,"UA Classic Fit features a pre-curved visor & structured front panels that maintain shape with a low profile fit. ArmourVent Technology delivers true breathability in a light, stretchy, durable & fast-drying fabric. UA CoolSwitch uses an exclusive coating on the inside that pulls heat away from your skin, making you actually feel cool & able to perform longer. Sweatband fabric feels cool to the touch & pulls heat away from your head super-fast, keeping you cooler. UPF 30+ protects your skin from the sun's harmful rays. Stretch construction provides a comfortable fit. Raised screen print logos.",https://images-na.ssl-images-amazon.com/images/I/81TGJc7QllL._AC_UX569_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/UnderArmour Boys Tour Cap.jpg
370150,UnderArmour Showdown Pant JR,"FIT: Straight leg. Light, stretchy woven fabric delivers total comfort. Material wicks sweat & dries really fast. Stretch-engineered waistband for superior mobility & insane comfort. Flat-front, 4-pocket design.",https://images-na.ssl-images-amazon.com/images/I/51gy8NQdMgL._AC_UX385_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/UnderArmour Showdown Pant JR.jpg
370150,UnderArmour Playoff Polo JR,"Soft anti-pick, anti-pill fabric has a cleaner, snag-free finish . 4-way stretch construction moves better in every direction. Material wicks sweat & dries really fast . Anti-odor technology prevents the growth of odor-causing microbes. UPF 30 protects your skin from the sun's harmful rays. Self-fabric collar. Updated performance fit.",https://images-na.ssl-images-amazon.com/images/I/91MekZlZcyL._AC_UX466_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/UnderArmour Playoff Polo JR.jpg
